id,url
general_mills-honey_nut_chex,https://www.walmart.com/ip/Honey-Nut-Chex-Cereal-Gluten-Free-20-3-oz/995262889
general_mills-honey_nut_cheerios,https://www.walmart.com/ip/Honey-Nut-Cheerios-Gluten-Free-Breakfast-Cereal-19-5-oz/807090338
general_mills-cheerios_whole_grain_oats,https://www.walmart.com/ip/Cheerios-Cereal-Gluten-Free-Whole-Grain-Oats-18-oz/10311410?wpa_bd=1569207862880&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=38a54506a57c591a419aa226db7b3bd3&wpa_aux_info=&wpa_tag=&wpa_pos=3&wpa_plmt=1145x1145_T-C-IG_TI_1-2_HL-INGRID-GRID-NY&wpa_aduid=8e429b35-4f95-4b35-8e72-b922069fa780&wpa_pg=search&wpa_pg_id=honey%20nut%20cheerios&wpa_st=honey%2Bnut%2Bcheerios&wpa_tax=976759_1228023&wpa_bucket=__bkt__
general_mills-maple_cheerios,https://www.walmart.com/ip/Maple-Cheerios-Cereal-Gluten-Free-19-8-oz/553944375
general_mills-apple_cinnamon_cheerios,https://www.walmart.com/ip/Apple-Cinnamon-Cheerios-Gluten-Free-Cereal-20-1-oz/981084609
general_mills-wheaties,https://www.walmart.com/ip/Wheaties-Cereal-with-Whole-Grain-Flakes-15-6-oz/10311273
general_mills-raisin_nut_bran,https://www.walmart.com/ip/Raisin-Nut-Bran-Breakfast-Cereal-17-1-oz-Box/10311411
general_mills-wheat_chex,None
general_mills-cheerios_cinnamon_oat_crunch,https://www.walmart.com/ip/Cheerios-Cinnamon-Oat-Crunch-Cereal-26-oz/366828037
great_value-toasted_os,None
great_value-bran_flakes,https://www.walmart.com/ip/Great-Value-Bran-Flakes-Cereal-15-6-oz/49303124
general_mills-honey_nut_cheerios_medley_crunch,https://www.walmart.com/ip/Honey-Nut-Cheerios-Medley-Crunch-Cereal-20-9-oz/772480032
kelloggs-corn_flakes,https://www.walmart.com/ip/Kellogg-s-Corn-Flakes-Breakfast-Cereal-Original-24-oz/10818609
kelloggs-special_k_original,https://www.walmart.com/ip/Kellogg-s-Special-K-Breakfast-Cereal-Value-Size-18-oz/10818613
kelloggs-special_k_red_berries,https://www.walmart.com/ip/Kellogg-s-Special-K-Red-Berries-Breakfast-Cereal-Value-Size-16-9-oz/47725949
kelloggs-frosted_flakes,https://www.walmart.com/ip/Kellogg-s-Frosted-Flakes-Family-Size-Breakfast-Cereal-24-oz/371107436
post-honey_bunches_of_oats_almond_crunch_whole_gran,None
post-honey_bunches_of_oats_vanilla_bunches,None
post-honey_bunches_of_oats_honey_crunch,None
general_mills-lucky_charms,https://www.walmart.com/ip/Lucky-Charms-Marshmallow-Cereal-Gluten-Free-26-1-oz/241475883
total-whole_grain_flakes,https://www.walmart.com/ip/Total-Cereal-with-Whole-Grain-Flakes-16-oz/10311271
general_mills-fiber_one,https://www.walmart.com/ip/Fiber-One-Cereal-Original-Bran-16-2-oz/10311398?wpa_bd=1569213680325&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=4fdfb8d50a1b07733d604d73ab595fd8&wpa_aux_info=&wpa_tag=&wpa_pos=6&wpa_plmt=1145x1145_T-C-IG_TI_1-2_HL-INGRID-GRID-NY&wpa_aduid=98db2a40-fc5c-4622-9a04-bd8483fc7ad9&wpa_pg=search&wpa_pg_id=fiber%20one&wpa_st=fiber%2Bone&wpa_tax=976759_976783&wpa_bucket=__bkt__
kelloggs-all_bran_original,https://www.walmart.com/ip/Kellogg-s-All-Bran-Breakfast-Cereal-18-6-oz-Box/474973970
general_mills-fiber_one_hone_clusters,https://www.walmart.com/ip/Fiber-One-Cereal-Honey-Clusters-14-25-oz/10311280
great_value-raisin_bran,https://www.walmart.com/ip/Great-Value-Raisin-Bran-Cereal-18-7-oz/55420061
kelloggs-raisin_bran,https://www.walmart.com/ip/Kellogg-s-Raisin-Bran-Breakfast-Cereal-Family-Size-24oz/844236833
kelloggs-special_k_vanilla_almond,https://www.walmart.com/ip/Kellogg-s-Special-K-Cereal-Vanilla-Almond-12-9oz/606336453
kelloggs-special_k_chocolatey_delight,https://www.walmart.com/ip/Kellogg-s-Special-K-Chocolatey-Delight-Breakfast-Cereal-Value-Size-18-5-oz/47725950
kelloggs-raisin_bran_crunch,https://www.walmart.com/ip/Kellogg-s-Raisin-Bran-Crunch-Breakfast-Cereal-22-5oz-Box/141442550
cascadian_farm_organic-cinnamon_crunch,https://www.walmart.com/ip/Cascadian-Farm-Organic-Cinnamon-Crunch-Cereal-9-2-oz/28468230
kashi-organic_blueberry_clulsters,https://www.walmart.com/ip/Kashi-Blueberry-Clusters-Breakfast-Cereal-Non-GMO-13-4-oz/10319631
kashi-gorise_original,https://www.walmart.com/ip/Kashi-GORISE-Original-Breakfast-Cereal-13-1-oz-box/21208469?selected=true
kashi-goplay_honey_almond_flax_crunch,https://www.walmart.com/ip/Kashi-GOLEAN-Breakfast-Cereal-Honey-Almond-Flax-Crunch-14-oz/21174196?selected=true
cascadian_farm_organic-fruit_nut_granola,https://www.walmart.com/ip/Cascadian-Farm-Organic-Fruit-and-Nut-Granola-13-5-oz/10813984
kelloggs-special_k_protein,https://www.walmart.com/ip/Kellogg-s-Special-K-Protein-Breakfast-Cereal-Value-Size-19-oz/47725952
kelloggs-special_k_fruit_yogurt,https://www.walmart.com/ip/Kellogg-s-Special-K-Fruit-Yogurt-Breakfast-Cereal-Value-Size-19-1-oz/47725947
post-honey_bunches_of_oats_almonds,https://www.walmart.com/ip/Post-Honey-Bunches-of-Oats-with-Crispy-Almonds-Cereal-23-oz-Box/169603333
post-great_grains_crunchy_pecan,https://www.walmart.com/ip/Post-Great-Grains-Crunchy-Pecan-Cereal-19-oz-Box/157347459?athcpid=157347459&athpgid=athenaItemPage&athcgid=null&athznid=PWVAV&athieid=v0&athstid=CS020&athguid=4e3ea602-e82-16d5c7f991ca51&athancid=null&athena=true
quaker-simply_granola_oats_honey_raisins_almonds,https://www.walmart.com/ip/Quaker-Simply-Granola-Oats-Honey-Raisins-Almonds-28-oz-Box/13399215
quaker-simply_granola_oats_honey_almonds,https://www.walmart.com/ip/Quaker-Simply-Granola-Oats-Honey-Almonds-28-oz-Box/21978523
